seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
3,110110,4,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,1,3,3,2,1,-2.99900998995,0,4 19 23
3,110111,5,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,4,3,2,1,-2.99900998995,0,4 23 28
3,111000,3,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,2,2,2,2,1,-2.99900998995,0,2 12 29
3,111001,4,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,3,3,2,2,1,-2.99900998995,0,2 12 22
3,111010,4,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,3,1,2,3,1,-2.99900998995,0,12 26 29
3,111011,5,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,2,3,1,-2.99900998995,0,2 12 29
3,111100,4,1,1,-0.666336663318,-0.666336663318,0,-0.666666666667,0.000330003349,1,3,3,2,1,-2.99900998995,0,12 16 22
3,111101,5,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,2,4,3,2,1,-2.99900998995,0,2 12 22
3,111110,5,1,1,-0.666336663318,-0.666336663318,0,-0.666666666667,0.000330003349,2,2,3,3,1,-2.99900998995,0,4 7 12
3,111111,6,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,3,3,3,3,1,-2.99900998995,0,12 22 29
4,000000,0,0,0,0,0,0,0,0,3,3,0,0,1,-2.99789472679,1,27 28 29
4,000001,1,0,0,0,0,0,0,0,4,4,0,0,1,-2.99789472679,0,9 24 29
4,000010,1,0,0,0,0,0,0,0,4,2,0,1,1,-2.99789472679,0,7 14 19
4,000011,2,0,0,0,0,0,0,0,5,3,0,1,1,-2.99789472679,0,7 26 29
4,000100,1,1,0,0.333333333333,0.333333333333,0,0.333333333333,-1.05471187339e-15,2,4,1,0,1,-2.99789472679,0,2 8 24
4,000101,2,0,0,0,0,0,0,0,3,5,1,0,1,-2.99789472679,0,2 3 24
4,000110,2,0,1,-0.999298242264,-0.999298242264,-1.11022302463e-16,-1,0.000701757735739,3,3,1,1,1,-2.99789472679,0,2 10 16
4,000111,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99789472679,0,2 7 26
4,001000,1,0,0,0,0,0,0,0,4,2,0,1,1,-2.99789472679,0,5 19 24
