bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
S,S_T,True,,0.0,11,203736,"('B', 'Wn', 4)",10536,918,5873,6395,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,12,202273,"('B', 'Wn', 4)",10718,926,5944,6527,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,13,200686,"('B', 'Wn', 4)",10405,907,5774,6458,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,14,202762,"('B', 'Wn', 4)",11159,1008,6539,6986,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,15,202830,"('B', 'Wn', 4)",10436,955,5809,6307,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,16,200643,"('B', 'Wn', 4)",10991,942,6253,6875,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,17,201190,"('B', 'Wn', 4)",11073,929,6450,7097,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,18,154371,"('A', 'Wn', 3)",13642,1004,7057,7569,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,19,152175,"('A', 'Wn', 3)",15380,1003,7852,8352,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,20,202735,"('B', 'Wn', 4)",10252,934,5707,6264,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.05,1,,,0,550,403,1151,29,59,,0.626,,,1.0,-2.9873
S,S_T,True,,0.05,2,,,0,534,375,1135,27,57,,0.6255,,,1.0,-2.9776
S,S_T,True,,0.05,3,,,0,508,403,1306,25,55,,0.6297,,,1.0,-2.9847
S,S_T,True,,0.05,4,,,0,528,383,1247,24,54,,0.6323,,,1.0,-2.9369
S,S_T,True,,0.05,5,,,0,505,397,1245,24,54,,0.6277,,,1.0,-2.9754
S,S_T,True,,0.05,6,,,0,515,416,1284,27,57,,0.6395,,,1.0,-2.9832
S,S_T,True,,0.05,7,,,0,527,362,1219,27,57,,0.642,,,1.0,-2.9776
S,S_T,True,,0.05,8,,,0,506,390,1234,32,62,,0.6259,,,1.0,-2.9832
S,S_T,True,,0.05,9,,,0,533,387,1205,24,54,,0.6338,,,1.0,-2.9847
S,S_T,True,,0.05,10,,,0,530,372,1171,27,57,,0.6193,,,1.0,-2.9873
S,S_T,True,,0.05,11,,,0,489,390,1246,27,57,,0.6404,,,1.0,-2.9797
S,S_T,True,,0.05,12,,,0,503,370,1235,24,54,,0.6339,,,1.0,-2.9861
S,S_T,True,,0.05,13,,,0,527,376,1305,25,55,,0.6378,,,1.0,-2.973
S,S_T,True,,0.05,14,,,0,545,379,1117,32,62,,0.627,,,1.0,-2.9776
S,S_T,True,,0.05,15,,,0,562,391,1118,33,63,,0.6474,,,1.0,-2.9832
S,S_T,True,,0.05,16,,,0,498,372,1229,26,56,,0.6323,,,1.0,-2.9776
S,S_T,True,,0.05,17,,,0,501,390,1294,26,56,,0.6384,,,1.0,-2.9861
S,S_T,True,,0.05,18,,,0,505,367,1238,25,55,,0.6304,,,1.0,-2.9776
S,S_T,True,,0.05,19,,,0,536,382,1218,25,55,,0.6325,,,1.0,-2.9754
S,S_T,True,,0.05,20,,,0,555,365,1157,24,54,,0.6474,,,1.0,-2.9754
